Helen,1910,156
Dorothy,1910,122
Mary,1910,112
Margaret,1910,104
Ruth,1910,94
Alice,1910,67
Mildred,1910,49
Elizabeth,1910,48
Esther,1910,48
Florence,1910,44
Marie,1910,44
Hazel,1910,42
Frances,1910,41
Gladys,1910,40
Evelyn,1910,39
Ethel,1910,38
Doris,1910,34
Lillian,1910,34
Marjorie,1910,33
Irene,1910,31
Virginia,1910,31
Edna,1910,30
Bernice,1910,29
Louise,1910,29
Thelma,1910,29
Mabel,1910,28
Elsie,1910,27
Lucille,1910,27
Edith,1910,26
Myrtle,1910,26
Anna,1910,25
Grace,1910,25
Laura,1910,25
Rose,1910,25
Eva,1910,24
Gertrude,1910,24
Josephine,1910,23
Katherine,1910,23
Lois,1910,23
Marguerite,1910,22
Marion,1910,22
Martha,1910,22
Emma,1910,21
Bertha,1910,20
Jean,1910,20
Vivian,1910,20
Catherine,1910,19
Agnes,1910,18
Ellen,1910,18
Pearl,1910,18
Juanita,1910,17
Genevieve,1910,16
Leona,1910,16
Velma,1910,16
Vera,1910,16
Betty,1910,15
Blanche,1910,15
Jane,1910,15
Ruby,1910,15
Sylvia,1910,15
Ann,1910,14
Anne,1910,14
Kathleen,1910,14
Sarah,1910,14
Viola,1910,14
Alma,1910,13
Kathryn,1910,13
Clara,1910,12
Violet,1910,12
Beatrice,1910,11
Inez,1910,11
Jessie,1910,11
Nellie,1910,11
Olive,1910,11
Pauline,1910,11
Georgia,1910,10
Ida,1910,10
May,1910,10
Muriel,1910,10
Patricia,1910,10
Bessie,1910,9
Eunice,1910,9
Geraldine,1910,9
Julia,1910,9
Lorraine,1910,9
Lucy,1910,9
Mae,1910,9
Marian,1910,9
Minnie,1910,9
Opal,1910,9
Wilma,1910,9
Winifred,1910,9
Annie,1910,8
Audrey,1910,8
Charlotte,1910,8
Dora,1910,8
Elaine,1910,8
Eleanor,1910,8
Harriet,1910,8
Jennie,1910,8
Sally,1910,8
Beulah,1910,7
Bonnie,1910,7
Carol,1910,7
Della,1910,7
Ella,1910,7
Lena,1910,7
Maxine,1910,7
Nora,1910,7
Alta,1910,6
Clarice,1910,6
Dorothea,1910,6
Eileen,1910,6
Jeanette,1910,6
Lola,1910,6
Merle,1910,6
Olga,1910,6
Phyllis,1910,6
Rhoda,1910,6
Rita,1910,6
Ada,1910,5
Beryl,1910,5
Carolyn,1910,5
Emily,1910,5
Ione,1910,5
Isabelle,1910,5
Joan,1910,5
Lydia,1910,5
Mable,1910,5
Miriam,1910,5
Naomi,1910,5
Nina,1910,5
Sadie,1910,5
Sophia,1910,5
Wanda,1910,5
Zelma,1910,5
Helen,1911,131
Mary,1911,131
Margaret,1911,121
Dorothy,1911,116
Ruth,1911,86
Alice,1911,69
Elizabeth,1911,69
Evelyn,1911,61
Frances,1911,56
Mildred,1911,53
Ethel,1911,51
Virginia,1911,48
Edna,1911,46
Florence,1911,45
Gladys,1911,45
Marie,1911,42
Marjorie,1911,40
Louise,1911,38
Anna,1911,37
Bernice,1911,37
Lois,1911,37
Mabel,1911,37
Doris,1911,36
Hazel,1911,35
Thelma,1911,35
Edith,1911,34
Esther,1911,34
Lillian,1911,33
Eva,1911,32
Elsie,1911,29
Betty,1911,27
Violet,1911,27
Grace,1911,26
Josephine,1911,26
Lucille,1911,26
Myrtle,1911,26
Clara,1911,25
Ellen,1911,25
Kathryn,1911,25
Martha,1911,25
Vivian,1911,25
Bertha,1911,24
Gertrude,1911,24
Jean,1911,24
Nellie,1911,24
Ann,1911,23
Irene,1911,23
Ruby,1911,22
Agnes,1911,21
Eleanor,1911,21
Ida,1911,21
Rose,1911,21
Catherine,1911,20
Jessie,1911,20
Vera,1911,20
Pauline,1911,18
Anne,1911,17
Beatrice,1911,17
Marguerite,1911,17
Genevieve,1911,16
Pearl,1911,16
June,1911,15
Marion,1911,15
Jane,1911,14
Katherine,1911,14
Marian,1911,14
Maxine,1911,13
Norma,1911,13
Viola,1911,13
Alma,1911,12
Charlotte,1911,12
May,1911,12
Verna,1911,12
Emma,1911,11
Harriet,1911,11
Julia,1911,11
Laura,1911,11
Mae,1911,11
Beulah,1911,10
Dorothea,1911,10
Ella,1911,10
Eunice,1911,10
Hilda,1911,10
Leona,1911,10
Muriel,1911,10
Winifred,1911,10
Erma,1911,9
Freda,1911,9
Helene,1911,9
Kathleen,1911,9
Lucile,1911,9
Peggy,1911,9
Stella,1911,9
Sylvia,1911,9
Wanda,1911,9
Wilma,1911,9
Ada,1911,8
Audrey,1911,8
Eileen,1911,8
Inez,1911,8
Jennie,1911,8
Juanita,1911,8
Lola,1911,8
Lorene,1911,8
Lorraine,1911,8
Patricia,1911,8
Rita,1911,8
Sarah,1911,8
Blanche,1911,7
Dora,1911,7
Elaine,1911,7
Lucy,1911,7
Luella,1911,7
Olga,1911,7
Olive,1911,7
Barbara,1911,6
Bessie,1911,6
Bonnie,1911,6
Constance,1911,6
Emily,1911,6
Fern,1911,6
Georgia,1911,6
Goldie,1911,6
Gwendolyn,1911,6
Janet,1911,6
Minnie,1911,6
Naomi,1911,6
Rhoda,1911,6
Adele,1911,5
Alberta,1911,5
Anita,1911,5
Beryl,1911,5
Carol,1911,5
Caroline,1911,5
Claire,1911,5
Della,1911,5
Geraldine,1911,5
Laverne,1911,5
Lila,1911,5
Lora,1911,5
Mable,1911,5
Marcia,1911,5
Maude,1911,5
Nina,1911,5
Phyllis,1911,5
Roberta,1911,5
Sadie,1911,5
Shirley,1911,5
Signe,1911,5
Susan,1911,5
Velma,1911,5
Winnifred,1911,5
Mary,1912,207
Helen,1912,184
Dorothy,1912,165
Margaret,1912,154
Ruth,1912,125
Mildred,1912,95
Frances,1912,82
Elizabeth,1912,70
Alice,1912,66
Evelyn,1912,66
Florence,1912,64
Grace,1912,59
Marie,1912,56
Gladys,1912,54
Lillian,1912,52
Esther,1912,51
Edith,1912,50
Louise,1912,47
Virginia,1912,46
Elsie,1912,45
Hazel,1912,45
Irene,1912,44
Eleanor,1912,43
Doris,1912,42
Marjorie,1912,41
Agnes,1912,38
Edna,1912,38
Ethel,1912,38
Lucille,1912,36
Thelma,1912,36
Ruby,1912,34
Bertha,1912,33
Bernice,1912,32
Katherine,1912,32
Catherine,1912,31
Clara,1912,31
Jean,1912,31
Gertrude,1912,30
Lois,1912,30
Martha,1912,30
Josephine,1912,29
Mabel,1912,28
Ellen,1912,27
Maxine,1912,27
Pauline,1912,27
Violet,1912,27
Emma,1912,26
Marian,1912,26
